,airport,city,state,year,pop_female,pop_male
0,ATL,Atlanta,Georgia,2011,5005893,4728362
1,ATL,Atlanta,Georgia,2012,5057673,4778824
2,ATL,Atlanta,Georgia,2013,5098814,4810147
3,BOS,Boston,Massachusetts,2011,3411504,3194591
4,BOS,Boston,Massachusetts,2012,3433819,3223186
5,BOS,Boston,Massachusetts,2013,3459046,3248502
6,CLT,Charlotte,North Carolina,2011,4940385,4618415
7,CLT,Charlotte,North Carolina,2012,4988257,4656850
8,CLT,Charlotte,North Carolina,2013,5037689,4698483
9,DEN,Denver,Colorado,2011,2549600,2537361
10,DEN,Denver,Colorado,2012,2584270,2573649
11,DEN,Denver,Colorado,2013,2621135,2611576
12,DFW,Dallas,Texas,2011,12904796,12626013
13,DFW,Dallas,Texas,2012,13118171,12831841
14,DFW,Dallas,Texas,2013,13315451,13040123
15,DTW,Detroit,Michigan,2011,5033448,4843070
16,DTW,Detroit,Michigan,2012,5037609,4853866
17,DTW,Detroit,Michigan,2013,5043525,4865181
18,EWR,New York,New Jersey,2011,4525976,4292793
19,EWR,New York,New Jersey,2012,4532696,4302693
20,EWR,New York,New Jersey,2013,4536468,4311068
21,IAH,Houston,Texas,2011,12904796,12626013
22,IAH,Houston,Texas,2012,13118171,12831841
23,IAH,Houston,Texas,2013,13315451,13040123
24,JFK,New York,New York,2011,10053616,9421823
25,JFK,New York,New York,2012,10084358,9457881
26,JFK,New York,New York,2013,10106792,9492974
27,LAS,Las Vegas,Nevada,2011,1342974,1357924
28,LAS,Las Vegas,Nevada,2012,1359235,1372894
29,LAS,Las Vegas,Nevada,2013,1376433,1387545
30,LAX,Los Angeles,California,2011,18923003,18562352
31,LAX,Los Angeles,California,2012,19079833,18715941
32,LAX,Los Angeles,California,2013,19240410,18864298
33,LGA,New York,New York,2011,10053616,9421823
34,LGA,New York,New York,2012,10084358,9457881
35,LGA,New York,New York,2013,10106792,9492974
36,MCO,Orlando,Florida,2011,9724778,9262293
37,MCO,Orlando,Florida,2012,9851901,9378173
38,MCO,Orlando,Florida,2013,9976877,9497619
39,MIA,Miami,Florida,2011,9724778,9262293
40,MIA,Miami,Florida,2012,9851901,9378173
41,MIA,Miami,Florida,2013,9976877,9497619
42,MSP,Minneapolis,Minnesota,2011,2691368,2649790
43,MSP,Minneapolis,Minnesota,2012,2705370,2668496
44,MSP,Minneapolis,Minnesota,2013,2723243,2687676
45,ORD,Chicago,Illinois,2011,6549622,6288742
46,ORD,Chicago,Illinois,2012,6556462,6297209
47,ORD,Chicago,Illinois,2013,6559455,6304769
48,PHL,Philadelphia,Pennsylvania,2011,6526991,6210790
49,PHL,Philadelphia,Pennsylvania,2012,6531395,6228446
50,PHL,Philadelphia,Pennsylvania,2013,6530033,6237989
51,PHX,Phoenix,Arizona,2011,3251565,3199746
52,PHX,Phoenix,Arizona,2012,3292783,3242196
53,PHX,Phoenix,Arizona,2013,3332998,3279244
54,SEA,Seattle,Washington,2011,3416815,3357827
55,SEA,Seattle,Washington,2012,3450949,3399605
56,SEA,Seattle,Washington,2013,3482341,3429350
57,SFO,San Francisco,California,2011,18923003,18562352
58,SFO,San Francisco,California,2012,19079833,18715941
59,SFO,San Francisco,California,2013,19240410,18864298
