Date,Holiday
2011-09-05,Labor Day
2011-10-10,Columbus Day
2011-11-11,Veterans Day
2011-11-24,Thanksgiving Day
2011-12-26,Christmas Day
2012-01-02,New Year's Day
2012-01-16,"Birthday of Martin Luther King, Jr."
2012-02-20,Washington's Birthday
2012-05-28,Memorial Day
2012-07-04,Independence Day
2012-09-03,Labor Day
2012-10-08,Columbus Day
2012-11-12,Veterans Day
2012-11-22,Thanksgiving Day
2012-12-25,Christmas Day
2013-01-01,New Year's Day
2013-01-21,"Birthday of Martin Luther King, Jr."
2013-02-18,Washington's Birthday
